Device,Time,Date,(1) Map,(1) Waits,(1) Shows,(1) Tips,(1) Bonus,(1) Game,(2) Not work as expected?,If yes...,(3) Influence?,If yes...,(4) Enough time?,If no...,(5) Overall Experience,(5a) Why?,(6) Merchandise Locations,(6a) What drove decision?,(7) Amount on merchandise,(8) F&B Locations,(8a) What drove decisions?,(9) Amount on F&B,(10) Meals eaten,(11) Attractions visisted,(13) Experience #1,(13) Experience #2,(13) Experience #3,(14) Age of user,(14) Gender of user,(15) Paper map?,(16) Paper schedule?,(17) Get lost?,(18) How closely did you follow plan?,(18a) What diverted original plans?,(19) Ride because of low wait times?,(19a) If yes....,(20) Get fast passes?,(20a) If yes...,(20c) Use them?,(20c) If no...,(21) Group split?,(21a) If yes...,(21b) Who kept the device?,(22) Other comments?
14,11:00:00,4/26/2011,6,7,6,5,5,6,no,,yes,better planning,no,did not find place to return,very good,very useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,0,,"La cabane des robinson, alice's curious labyrinth, art of disney animation, flying carpets over agrabah, studio tram tour, cinemagique, armageddon, rock n roller coaster, tower of terror,Moteurs action stunt show",rock n roller coaster,armageddon,Cinemagique,28/23,Female and male,yes,no,never,closely,,no,,yes,rock n roller coaster,,,no,,,non
14,18:20:00,4/28/2011,3,6,6,2,4,5,No, ,No,,No,pas forcereut usterre's,Very Good,Fur,My group has not purchased any merchandise at the disneyland paris resort today,Merchandise offerings and store look and feel,,,Price,30,Lunch,"Alice's Curious Labyrinth, Captain EO, Stitch live, Moteurs Action stunt show, playhouse disney live",stitch,play house disney live,alice's curious labyrinth,34,M,No,Yes,Never,Closely,Tired children,Yes,stitch and alice,No,,,,No,,,
14,19:55:00,4/29/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16:15:00,4/30/2011,5,5,0,2,6,0,No,,Yes,Passcard,Yes,,Very Good,simple,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,Disney;s Blockbuster Cafe,Bonus,50,"Breakfast, lunch and dinner","Its a small world, armageddon, rock n roller coaster, tower of terror",rock n roller coaster,Small World,Tower of Terror,36,M,Yes,No,Never,Does not apply did not have a plan,Long Waits,Yes, ,Yes,Tower of Ter,Yes,,No,,,Good initiative
14,19:12:00,4/21/2011,7,7,3,3,,1,no,,no,,yes,fast pass,excellent,"very useful device, helped a lot during the visit","indiana jones adventure outpost, tower hotel gifts",merchandise offerings and store look and feel,80,"buzz lightyear pizza planet, disney blockbuster cafe",wait times,30,lunch and afternoon snack,"armageddon, rock n roller coaster, tower of terror, moteurs action stunt show",,space mountain,"rock n roller coaster, tower of terror",16,female,no,no,never,does not apply did not have a plan,bonus,yes,rock n roller coaster,yes,space muntain and rock n roller coaster,yes,fa noug a fait gagnee du temps,no,,,"very useful device, easy to use"
15,21:05:00,4/23/2011,5,5,5,5,5,0,y,Blay Vous Sollis,y,,n,,Excellent,Ca Machu bien,,Store look and feel,100,Buzz Lightyear's Pizza Planet,"Wait Time, Price",60,"Morning Snack, Lunch, AfternoonSnack","Le Pays des Contest de Fees, it's a small world",Parade,Train,,34,m,y,y,A few times,Not at all,Long Waits,y,Pirates of the Caribbean,n,,,,n,,,
15,,4/24/2011,3,4,3,1,2,3,yes,La solat,Yes,Le temps a tent,No,,Good,,"The Emporium, Wold of Toys",Store look and feel,100,Fuente del oro restaurante,Counter service vs table service,60,,"Le pays des contes de fees, art of disney animation, cinemagique, armageddon, rock n roller coaster, moteurs action stunt show",Alice,Cars,Mickey Parade,40,Male,Yes,No,Never,Does not apply did not have a plan,,Yes,autopia,No,,No,,No,,,
15,17:25:00,4/25/2011,5,7,0,5,7,7,No,,Yes,,Yes,,Very Good,Restaurants are not mentioned on the device,Les Legends de Hollywood,Proximity,56,"Disney Blockbuster cafe, Restaurant en coulisse",Proximity,50,Lunch and afternoon snack,"Stitch Live, Flying carpets over agrabah, rock n roller coaster, tower of terror, playhouse disney live on stage",Stitch Live,Tower of terror,Rock n roller coaster,33,Female,No,No,Never,Does not apply did not have a plan,Bonus,Yes,Stitch live,No,,,,Yes,2x2 can enfant,les adultes,You should mention the restaurants and their locaitons in the park
15,20:10:00,4/25/2011,6,7,5,6,6,1,Yes,Battery,No,,,,Good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Colonel Haithi's Pizza outpost,Other-Place,20,,,,,,,,Yes,Yes,Never,Loosely,Long waits and other - defect 2X,Yes,,Yes,all,,,No,,,Too many people
15,18:40:00,4/26/2011,7,7,7,3,7,5,no,,yes,,no,,very good,,Thunder mesa mercantile,store look and feel,trap,,other,135,lunch,"its a small world, captain eo, studio tram tour, armageddon, rock n roller coaster,tower of terror, moteurs action stunt show",space mountain,tower of terror,,,,yes,no,never,,,yes,Armageddon,no,,,,yes,,parents,multae des ? aure attractions
15,19:00:00,4/26/2011,6,7,0,1,3,5,yes,bug,yes,,no,,very good,,walt disney studio store,other - fermeture,50,Agrabah cafe restaurant,Proximity,25,lunch,"studio tram tour, armageddon",pirates of the carribean,space mountain,armageddon,13,female,no,no,once,does not apply did not have a plan,long waits,no,,yes,buzz lightyear,yes,,no,,,
15,18:20:00,4/27/2011,7,7,0,4,7,7,N,,N,,Y,Fastpass,Very Good,Easy to use,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,,Restaurant en Coulisse,Proximity,20,Dinner,"Armageddon: Les Effets Speciaux, Rock 'n' Roller Coaster, Tower of Terror",Rock 'n' Roller Coaster,Tower of Terror,Indiana Jones,21,M,n,n,Never,Closely,Long Waits,n,,n,,,,n,,,
15,18:15:00,4/21/2011,7,7,7,3,0,4,yes,bloque,yes,,no,,very good,useful,,merchandise offerings and store look and feel,100,restaurant hakuna matata,food offerings   ,50,lunch and afternoon snack,,peter pan,big thunder mountain railroad,star tours,29,Male  ,no,no,never,does not apply did not have a plan,,yes,train de cirque,yes,star tour,yes,,no,,,very helpful easy to use
16,20:30:00,4/23/2011,4,5,4,2,5,6,y,,y,,y,,Very good,,,Merchandise offerings,50,Buzz Lightyear's Pizza Planet,Bonus,70,Lunch,"La Cabane des Robinson, Le Pays des Contes de Fees, it's a small world, Rock 'n' Roller Coaster, Tower of Terror",Rock 'n' Roller Coaster,Space Mountain,Star Tours,10,m,n,n,never,Does not apply (did not have plan),,y,Space Mountain,y,"Star Tours, Buzz Lightyear, Space Mountain",y,,y,,,
16,19:50:00,4/24/2011,6,6,2,4,1,3,No,,Yes,waits,No,interesting,Excellent,used it a lot,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,"Studio tram tour, Armageddon, Moteurs action stunt show",Indiana Jones,Studio tram tour,pirates of the carribean,37,Male,Yes,Yes,Once,Closely,Long waits,No,,Yes,Thunder Mountain Railroad,No,Not yet,No,,,Cool idea. More battery
16,19:30:00,4/26/2011,6,6,6,1,3,3,no,,no,,no,,good,affrofondei,"Indiana jones adventure outpost, tower hotel gifts, disney store",proximity, ,"Cafe hyperion, restaurant en coulisse",,20,,,,,,,,yes,yes,never,closely,long waits,yes,,,,,,,,,? po pope et we attente
16,19:15:00,4/27/2011,6,7,6,0,7,6,n,,y,,y,,Excellent,It is a good service,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,60,Agrabah Cafe Restaurant,Proximity,25,Lunch,"La Cabane des Robinson, it's a small world, Alice's Curious Labyrinth, Captain EO, Art of Disney Animation, Armageddon: Les Effets Speciaux, Rock 'n' Roller Coaster, Tower of Terror, Moteurs... Action! Stunt Show",Tower of Terror,Star Tours,Space Mountain,29,m,n,n,never,Loosely,"Long waits, bonuses",y,Tower of Terror,n,,,,n,,,Great! Park opening times would be great.
16,21:00:00,4/29/2011,7,7,7,6,6,5,,,Yes,,Yes,,Very Good,Excellent - Easy to forget when leaving,"The Emporium, Plaza West Shop, Walt Disney Studio Store, Disney Store","Store look and feel, proximity",200,,Proximity,200,"Morning snack, lunch, afternoon snack, dinner",,Buzz Lightyear,All Characters,Slinky Dog,35,Male,No,Yes,Never,Loosely,Long waits,Yes,"Tower of terror, Slinky dog",yes,VIP,yes,,no,,,It needs a large deposit as very easy to forget to return when leaving
16,17:10:00,4/30/2011,7,7,7,7,7,7,No,,,,No,,Excellent,Very interesting,,Merchandise Offerings and Proximity,170,,Price and Proximity,98,Lunch,"Alice's Curious Labyrinth, Captain EO, Studio Tram Tour, Moteurs Action Stunt Show, Playhouse Disney Live on Stage",,,,17,,No,No,Never,Exactly,Tired Children,No,,Yes,,Yes,,No,,,None
16,22:15:00,4/30/2011,7,6,7,6,6,4,No,,No,,Yes,,Excellent,,"The emporium, walt disney studio store, art of animation, disney store",Merchandise offerings,200,My group has not purchased any meals or snacks at the Disneyland Paris resort today,,100,Breakfast,"Art of disney animation,studio tram tour, cinemagique, rock n roller coaster, tower of terror, moteurs action stunt show, playhouse disney live",Rock n roller coaster,Moteurs action stunt show,studio tram tour,12,,Yes,No,Never,Closely,Bonuses,Yes,playhouse disney live,Yes,,No,,,,,Very Good
16,18:55:00,4/21/2011,7,7,0,4,3,0,no,,yes,,no,,good,,My group has not purchased any merchandise at the disneyland paris resort today,,,cafe hyperion,food offerings,15,lunch  ,"la cabane des robinson, studio tram tour, moteurs action stunt show",Moteurs action stunt show,studio tram tour,,60,Male,yes,no,never,,,yes,star tour,no,,,,no,,,
17,19:49:00,4/23/2011,7,7,0,0,0,5,n,,y,,y,,Very good,complet avec la carte papier,,Bonus,30,Skip to question 9,,,,,,,,,,,,,,,,,,,,,,,,
17,16:30:00,4/28/2011,7,7,5,3,2,0,Yes,Software problem and too late,No, ,No,Too late,Just Okay,Bonus and time,,Other - souvenire,too much (ha ha),Blockbuster cafe,Other - hungry,too much,Lunch and afternoon snack,"Alice's Curiouse Labyrinth, art of disney animation, studio tram tour, rock n roller coaster, tower of terror, moteurs action stunt show",Rock n roller coaster,tower of terror,space mountain,"6,47",Male and female,"Yes,No",Yes,Never,Not at all,Long waits,Yes,,Yes,"Space mountain, Indiana Jones",Yes,,No,,,More bonuses during the day
17,,4/29/2011,7,7,2,2,0,6,Yes,Il s'est eteiad,yes,,no,,Excellent,Tres utile,My group has not purchased any merchnadise at the Disneyland Paris resort today,Merchandise offerings,0,,Food offerings and price,,Diner,Its a small world,Space mountain,Indiana Jones,Star Tour,32,Male,yes,yes,Never,Does not apply did not have a plan,long waits,yes,space mountain,yes,star tour indiana jones buzz lightyear,yes,,no,,,Pas assez de bonus!!
17,,4/29/2011,7,7,2,2,0,6,yes,Tis' est 'eteind,yes,,no,,Excellent,Tres utile,My group has not purchased any merchandise at the disneyland paris resort today,Merchandise offerings,0,,Food offerings and price, ,Dinner,Its a small world,Space Mountain,Indiana Jones,Star Tour,32,Male,yes,yes,never,Does not apply did not have a plan,Long waits,yes,Space mountain,yes,"Star tour, Indiana Jones, buzz lightyear",yes, ,no,,,Pas assez de bonus
17,20:50:00,4/30/2011,6,6,2,2,0,0,No,,Yes,,No,,Very Good,Originalite et juste,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,,Proximity,150,Lunch and after dinner snack,"Art of Disney Animation, Studio Tram Tour, Armageddon, Rock n Roller Coaster, Tower of Terror",Pirates of the Carribean,Space Mountain,Studio Tour,20,M,Yes,No,Never,Loosely,Long waits and tired children,yes,Star Tour,No,,,,No,,,
17,19:26:00,4/21/2011,7,6,6,,7,4,yes,late updates,yes,waiting times,no,late update for the fast pass bonus,good not enough options,,My group has not purchased any merchandise at the disneyland paris resort today,,,My group has not purchased any meals or snacks at the disneyland paris resort today,,40,morning snack and afternoon snack,"la cabane des robinson, studio tram tour, Armageddon, rock n roller coaster, tower of terror, moteurs action stunt show",tower of terror,rock n roller coaster,moteurs actions stunt show,36,Male,no,no,never,does not apply did not have a plan,long waits and bonus,yes,armageddon,yes,rock n roller coaster,yes,rapidile,no,,,add some kind of link between the attraction and its waiting time. otherwise its very useful
18,18:25:00,4/23/2011,3,6,5,5,5,5,n,,y,,y,,Very good,,,"Merchandise offerings, Weather condition",200,,"Wait times, Price",200,"Lunch, AfternoonSnack","Le Pays des Contes de Fees, Alice's Curious Labrynth,Captain EO, Cinemagique",,,,33,m,n,n,Never,Loosely,Bonuses,y,"Peter Pan, Big Thunder Mountain",n,,,,y,,,Tre Bien! Awesome!
18,17:50:00,4/21/2011,4,7,4,0,3,2,no,,no,,yes,,very good,,My group has not purchased any merchandise at the disneyland paris resort today,,,,counter service vs table service,29,lunch,"studio tram tour, rock n roller coaster, tower of teror",tower of terror,space mountain,rock n roller coaster,26,female,no,no,never,does not apply did not have a plan,long waits and bonus,yes,tower of terror,no,,,,no,,,"not enough fast pass in the bonus section. Always the same questions on the game, not the same waiting time"
19,,4/24/2011,3,,,,,,No,,Yes,urgence=Chute de trotoir en utilisant la console,No,,Just okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Didn't complet survey
19,17:50:00,4/25/2011,3,4,,,,,No,,No,,No,,Just Okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18:55:00,4/26/2011,4,7,5,2,3,2,no,,no,,no,,good,walt disney studio store,store look and feel, ,50,restaurant en coulisse,food offerings,40,lunch,"studio tram tour, trock n roller coaster, tower of terror, moteurs action stunt show",tower of terror,rock n roller coaster,parachute,12,Female,no,no,never,closely,long waits,yes,,no,,,,no,,,
19,14:00:00,4/28/2011,5,7,7,0,3,4,Yes,Switched itself off,Yes,,No,Didnt work,Good,,"The emporium, Disney Studio Store, Disney store",Proximity,150,Au chalet de la marionette and restaurant en coullise,"Food offerings, wait time, price",200,"Breakfast, lunch and dinner","Alice's Curious Labyrinth, its a small world, flying carpets over agrabah, studio tram tour",,,,8,female,"Yes,No",No,Never, ,"Long waits, tired children",Yes, ,No,,,,Yes,age of children,mom and youngest child,Link waits and show map. Very good as Iphone app
19,18:56:00,4/21/2011,6,7,6,5,6,7,yes,it turned off,yes,because of the waiting times,yes,,good,easy to use,My group has not purchased any merchandise at the disneyland paris resort today,,,Buzz lightyears pizza planet,"Proximity, price and bonus",,lunch,"captain eo, rock n roller coaster, tower of terror",Tower of terror,rock n roller coaster,indiana jones,43,male,yes,no,never,loosely,bonus,yes,tower of terror,no,,no,,no, ,,change questions of the game and add high scores
20,17:40:00,4/23/2011,6,6,0,3,0,2,n,,n,,n,,Good,more details about attractions,,,70,,Wait time,39,"AfternoonSnack, Dinner",Rock 'n' Roller Coaster,Indiana Jones,Space Mountain,Phantom Manor,42,f,n,n,A few times,Closely,Long Waits,y,La cabanes de Robinson,n,,,,n,,,"There are only fast food restaurants. Too greasy, no fruit."
20,18:40:00,4/24/2011,7,7,7,7,7,7,Yes,Mise eu veille dilto, ,,No,,Good,,Les Legends de Hollywood,Other,,Disney Blockbuster Cafe,Counter service vs table service,150,evening snack,"Captain EO, Flying carpets over agrabah",,,,91,F,,,a few times,closely,other,,,Yes,,,,yes/no,,,Non
20,19:40:00,4/25/2011,5,5,2,1,1,1,No,,Yes,,,,Good,,My group has not purchsed any merchandise at the Disneyland Paris Resort today,,,Agrabah Cafe Restaurant,Proximity,,Lunch,"Its a small world, Studio tram tour, rock n roller coaster, tower of terror", , , ,36,Male,Yes,No,Once,Does not apply did not have a plan,Long waits,Yes,,No,,,,No,,,Difficult to read what appears in the screen when the sun shines
20,17:50:00,4/30/2011,5,6,6,5,5,5,No,,,,No,,Very Good,,,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort this trip,"Food Offerings, Wait Times",30,"Breakfast, lunch, dinner",Alice's Curious Labyrinth,,,,"25,28",,Yes,YNo,Never,Exactly,Long Waits,NO,,Yes,,No,Baby Sleep,,,,Disneyland is Fantastic
20,16:45:00,4/21/2011,6,6,6,2,5,6,yes,,no,,no,the device turned off and the bonuses were gone when we turned it back on,good,,walt disney studio store,merchandise offerings and proximity,60,,Proximity,20,lunch,"flying carpets over agrabah, studio tram tour, rock n roller coaster, tower of terror",rock n roller coaster,studio tram tour,,37,female,yes,no,never,closely,long waits and tired children,no,,yes,big thunder mountain,yes,,yes,to go to different attractions,the main user of the device,
22,17:51:00,4/23/2011,5,5,5,6,6,6,n,,n,,n,,Good,,,"Merchandiseofferings, Store look and feel",50,My group has not purchased any meals or snacks at the Disneyland Paris Resortthis trip - Skip to question 9,,10,Afternoon Snack,"La Cabane des Robonson, Le Pays des Contes de Fees",,,,40,m,y,n,never,Does not apply (did not have plan),Long Waits,y,,n,,,,,,,
22,20:03:00,4/27/2011,6,6,6,5,4,0,n,,y,Fastpass,n,,Good,Because it's not always precise,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,,My group has not purchased any meals or snacks at the Disneyland Paris Resortthis trip - Skip to question 9,,,,,Space Mountain,Buzz Lightyear,,37,f,n,n,Never,Does not apply (did not have a plan),,y,,y,,y,,n,,,It should indicate the locations of restaurants and toilets.
22,17:05:00,4/30/2011,5,6,0,3,4,5,No,,Yes,,No,,Good,Lack of functionalities,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,Fuente del Oro Restaurante,Restervations,1/2 Pension,Breakfast and Lunch,"Its a small world, studio tram tour",Studio Tram Tour,,,50,M,yes,No,Never,Closely,Long waits,Yes,Studio tram tour,Yes,,Yes,,No,,,"You should add a ""searching Option"". You should zoom more."
22,,4/30/2011,7,7,5,0,5,5,Yes,plus de batterie,No,,No,,Excellent,,,Merchandise offerings and store look and feel,60,,price,100,lunch and dinner,"its a small world, armageddon",Rock n roller coaster,space mountain,star tour,13,Female,yes,No,Never,Does not apply did not have a ;plan,Long waits,Yes,Star tours and Alice,No,,,,Yes,Attractions ,,
22,17:43:00,4/21/2011,7,7,7,5,6,2,yes,,broken device,yes,,no,the bonus appeared too late,,My group has not purchased any merchandise at the disneyland paris resort today,,,My group has not purchased any meals or snacks at the disneyland paris resort today,,,,"le pays des contes de fees, its a small world, flying carpets over agrabah",,,,39,male  ,no,no,never,does not apply did not have a plan,,no,,no,,,,no,,,
23,17:45:00,4/24/2011,5,6,6,3,6,,no,,yes,,no,,good,,Walt disney studios store,proximity,65,Disney Blockbuster cafe,,,,,,,,,,,,,,,,,,,,,,,,
23,20:20:00,4/25/2011,7,7,0,2,6,1,Yes,The device stopped working,,,Yes,,Good,We did not use the functions,Disney Store,"Merchandise offerings, Store look and feel, proximity",75,Pizzeria Bella Notte,Food Offerings,70,Lunch and afternoon snack,"Alice's Curious Labyrinth, Armageddon",Rock n roller coaster,Space mountain,Big thunder mountain,37,Female,No,No,Never,Does not apply did not have a plan,Tired children,Yes,Alice's Curious Labyrinth,Yes,Big Thunder Mountain/Buzz Lightyear,Yes,Buzz Lightyear,No,,,
23,19:55:00,4/27/2011,6,6,5,3,3,3,n,,n,,n,,Good,,My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,,Cowboy Cookout Barbeque,Reservations,60,Lunch,,,,,3,,y,n,Never,Loosely,Long waits,n,,y,Peter Pan,y,,n,,,
